value,label
MRFAP1,MRFAP1
MRFAP1L1,MRFAP1L1
MROH5,MROH5
MROH6,MROH6
MRPL20,MRPL20
MRPL36,MRPL36
MRPS14,MRPS14
MRPS31,MRPS31
MRPS33,MRPS33
MRPS9,MRPS9
MSI2,MSI2
MTG2,MTG2
MTMR4,MTMR4
MTRF1,MTRF1
MTRNR2L1,MTRNR2L1
MTRNR2L13,MTRNR2L13
MTRNR2L8,MTRNR2L8
MUC12,MUC12
MUC16,MUC16
MUC3A,MUC3A
MUC4,MUC4
MUC5B,MUC5B
MUC7,MUC7
MUSK,MUSK
MYC,MYC
MYCBP,MYCBP
MYH1,MYH1
MYH2,MYH2
MYH7,MYH7
MYL1,MYL1
MYNN,MYNN
MYO18A,MYO18A
MYO1H,MYO1H
MYO5B,MYO5B
MYOZ3,MYOZ3
MYT1L,MYT1L
NAA20,NAA20
NALCN,NALCN
NANP,NANP
NBPF10,NBPF10
NBPF8,NBPF8
NCALD,NCALD
NCF1,NCF1
NCOA7,NCOA7
NCOR1,NCOR1
NDEL1,NDEL1
NDUFB9,NDUFB9
NEAT1,NEAT1
NEB,NEB
NEK11,NEK11
NF1,NF1
NFE2L2,NFE2L2
NFKB2,NFKB2
NFKBIE,NFKBIE
NLK,NLK
NLRP11,NLRP11
NME8,NME8
NMRAL1,NMRAL1
NOC2L,NOC2L
NOMO1,NOMO1
NOTCH1,NOTCH1
NPAS2,NPAS2
NPAS3,NPAS3
NPEPPS,NPEPPS
NPHS1,NPHS1
NR1D2,NR1D2
NR5A1,NR5A1
NR5A2,NR5A2
NSUN6,NSUN6
NTRK3,NTRK3
NUAK2,NUAK2
NUCKS1,NUCKS1
NUDT10,NUDT10
NUMB,NUMB
NUP50,NUP50
NXPE1,NXPE1
NYAP2,NYAP2
ODF4,ODF4
ONECUT2,ONECUT2
OR1L1,OR1L1
OR1M1,OR1M1
OR2F2,OR2F2
OR2L2,OR2L2
OR2W3,OR2W3
OR4C5,OR4C5
OR4M1,OR4M1
OR51F2,OR51F2
OR6S1,OR6S1
OR7G3,OR7G3
OR8K5,OR8K5
OR9G1,OR9G1
OR9K2,OR9K2
OSBPL8,OSBPL8
OSGEP,OSGEP
OSMR,OSMR
OTUB1,OTUB1
OXNAD1,OXNAD1
P2RY14,P2RY14
PAAF1,PAAF1
PACS1,PACS1
PAN2,PAN2
PAPD5,PAPD5
PARP2,PARP2
PARP9,PARP9
PAX5,PAX5
PAX6,PAX6
PAXIP1,PAXIP1
PBRM1,PBRM1
PCA3,PCA3
PCDH15,PCDH15
PCDHA4,PCDHA4
PCDHGA8,PCDHGA8
PCF11,PCF11
PCGF2,PCGF2
PCK1,PCK1
PCMTD1,PCMTD1
PDCD2,PDCD2
PDE2A,PDE2A
PDE3A,PDE3A
PDE4A,PDE4A
PDE4DIP,PDE4DIP
PDHA2,PDHA2
PDIA4,PDIA4
PDK4,PDK4
PDP2,PDP2
PDPN,PDPN
PDZD2,PDZD2
PEF1,PEF1
PER1,PER1
PES1,PES1
PEX16,PEX16
PFKFB3,PFKFB3
PFN2,PFN2
PGA3,PGA3
PGA4,PGA4
PGR,PGR
PHAX,PHAX
PHF11,PHF11
PHF5A,PHF5A
PHF8,PHF8
PHYHD1,PHYHD1
PID1,PID1
PIGC,PIGC
PIGY,PIGY
PIK3R5,PIK3R5
PKNOX2,PKNOX2
PKP1,PKP1
PKP3,PKP3
PLA2G6,PLA2G6
PLAC8,PLAC8
PLAGL1,PLAGL1
PLCB2,PLCB2
PLCB4,PLCB4
PLCL1,PLCL1
PLCXD1,PLCXD1
PLEKHS1,PLEKHS1
PLG,PLG
PNP,PNP
PNPLA2,PNPLA2
POLR2D,POLR2D
POLR2J3,POLR2J3
POLR3E,POLR3E
POU2F3,POU2F3
POU5F1B,POU5F1B
PPAPDC1A,PPAPDC1A
PPFIA2,PPFIA2
PPM1E,PPM1E
PPP2R3A,PPP2R3A
PPP2R4,PPP2R4
PPP4C,PPP4C
PRAMEF4,PRAMEF4
PRDM9,PRDM9
PRDX2,PRDX2
PRELID2,PRELID2
PREPL,PREPL
PRIM2,PRIM2
PRKAG1,PRKAG1
PRKCA,PRKCA
PRKCZ,PRKCZ
PRMT5,PRMT5
PROZ,PROZ
PRRC2B,PRRC2B
PRRT3,PRRT3
PRSS1,PRSS1
PRSS3,PRSS3
PRSS38,PRSS38
PSG4,PSG4
PSG5,PSG5
PSMB3,PSMB3
PSMC3,PSMC3
PSMD2,PSMD2
PSMD8,PSMD8
PSME1,PSME1
PSMF1,PSMF1
PSMG4,PSMG4
PSPH,PSPH
PTBP1,PTBP1
PTDSS1,PTDSS1
PTEN,PTEN
PTN,PTN
PTPN1,PTPN1
PTPN4,PTPN4
QPRT,QPRT
RAB11A,RAB11A
RAB14,RAB14
RAB1B,RAB1B
RAB44,RAB44
RABEPK,RABEPK
RABL2B,RABL2B
RALY,RALY
RANBP10,RANBP10
RAP1GAP,RAP1GAP
RAPGEF1,RAPGEF1
RAPGEF4,RAPGEF4
RARA,RARA
RARG,RARG
RASGRP4,RASGRP4
RAVER1,RAVER1
RB1,RB1
RBFOX1,RBFOX1
RBL1,RBL1
RBM17,RBM17
RBM22,RBM22
RCN1,RCN1
RDH8,RDH8
REG1A,REG1A
RERG,RERG
RESP18,RESP18
RFPL3-AS1,RFPL3-AS1
RGCC,RGCC
RGPD8,RGPD8
RGS18,RGS18
RGS19,RGS19
RIC3,RIC3
RIMBP2,RIMBP2
RIN2,RIN2
RINL,RINL
RMRP,RMRP
RNA5-8SP2,RNA5-8SP2
RNA5SP469,RNA5SP469
RNASE1,RNASE1
RNASE10,RNASE10
RNASE11,RNASE11
RNASE12,RNASE12
RNASE4,RNASE4
RNASE6,RNASE6
RNASE9,RNASE9
RNASEH2A,RNASEH2A
RNF10,RNF10
RNF168,RNF168
RNF182,RNF182
RNF185,RNF185
RNF19B,RNF19B
RNF216,RNF216
RNF219,RNF219
RNF26,RNF26
RNF32,RNF32
RNF34,RNF34
RNF4,RNF4
RNF40,RNF40
RNH1,RNH1
RNU2-2P,RNU2-2P
RNU4ATAC,RNU4ATAC
RNY5,RNY5
RP11-1023P17.2,RP11-1023P17.2
RP11-1030E3.1,RP11-1030E3.1
RP11-108M9.6,RP11-108M9.6
RP11-1127D7.1,RP11-1127D7.1
RP11-13K12.2,RP11-13K12.2
RP11-146N18.1,RP11-146N18.1
RP11-159G9.5,RP11-159G9.5
RP11-160N1.10,RP11-160N1.10
RP11-181C3.1,RP11-181C3.1
RP11-189E14.4,RP11-189E14.4
RP11-211G3.2,RP11-211G3.2
RP11-214O1.2,RP11-214O1.2
RP11-231C14.4,RP11-231C14.4
RP11-243A14.2,RP11-243A14.2
RP11-262H14.1,RP11-262H14.1
RP11-28H5.2,RP11-28H5.2
RP11-297M9.2,RP11-297M9.2
RP11-308N19.1,RP11-308N19.1
RP11-332J15.1,RP11-332J15.1
RP11-34N19.1,RP11-34N19.1
RP11-354A14.1,RP11-354A14.1
RP11-374A4.1,RP11-374A4.1
RP11-423O2.5,RP11-423O2.5
RP11-42I10.1,RP11-42I10.1
RP11-449D8.1,RP11-449D8.1
RP11-455B3.1,RP11-455B3.1
RP11-481A20.11,RP11-481A20.11
RP11-482E14.1,RP11-482E14.1
RP11-527H14.1,RP11-527H14.1
RP11-572M11.1,RP11-572M11.1
RP11-626K17.3,RP11-626K17.3
RP11-67H2.1,RP11-67H2.1
RP11-683L23.1,RP11-683L23.1
RP11-6C14.1,RP11-6C14.1
RP11-707A18.1,RP11-707A18.1
RP11-707P20.1,RP11-707P20.1
RP11-727A23.5,RP11-727A23.5
RP11-758M4.1,RP11-758M4.1
RP11-82L2.1,RP11-82L2.1
RP11-863K10.7,RP11-863K10.7
RP11-930P14.2,RP11-930P14.2
RP11.1101K5.1,RP11.1101K5.1
RP13-81N3.2,RP13-81N3.2
RP4-704D21.2,RP4-704D21.2
RP4-734P14.4,RP4-734P14.4
RP4-788L20.3,RP4-788L20.3
RP5-1125A11.1,RP5-1125A11.1
RP6-99M1.2,RP6-99M1.2
RPE,RPE
RPIA,RPIA
RPL13A,RPL13A
RPL18A,RPL18A
RPL29,RPL29
RPL34,RPL34
RPL37,RPL37
RPLP0,RPLP0
RPS20,RPS20
RPS27,RPS27
RPS27A,RPS27A
RRAS2,RRAS2
RTBDN,RTBDN
RUNDC3B,RUNDC3B
RYR2,RYR2
S100A7A,S100A7A
S100A8,S100A8
S1PR5,S1PR5
SAMMSON,SAMMSON
SARS2,SARS2
SATB1,SATB1
SCNM1,SCNM1
SCYL2,SCYL2
SDF4,SDF4
SDHD,SDHD
SEC14L1,SEC14L1
SEC16A,SEC16A
SECISBP2,SECISBP2
SEMA6A,SEMA6A
SEPT4,SEPT4
SERPINB7,SERPINB7
SERPINI1,SERPINI1
SESN2,SESN2
SETDB2,SETDB2
SF1,SF1
SFPQ,SFPQ
SGCZ,SGCZ
SGK1,SGK1
SH2D5,SH2D5
SI,SI
SIK3,SIK3
SIRPD,SIRPD
SIRPG,SIRPG
SKIL,SKIL
SLAMF1,SLAMF1
SLC12A2,SLC12A2
SLC22A1,SLC22A1
SLC22A11,SLC22A11
SLC25A17,SLC25A17
SLC25A25,SLC25A25
SLC30A6,SLC30A6
SLC35G1,SLC35G1
SLC35G2,SLC35G2
SLC44A5,SLC44A5
SLC5A5,SLC5A5
SLC6A13,SLC6A13
SLC6A15,SLC6A15
SLC9A8,SLC9A8
SMARCD3,SMARCD3
SMG1,SMG1
SMUG1,SMUG1
SNRNP200,SNRNP200
SNRPB,SNRPB
SNRPD2,SNRPD2
SNRPN,SNRPN
SNURF,SNURF
SNX10,SNX10
SNX16,SNX16
SOGA2,SOGA2
SOX12,SOX12
SP2,SP2
SPANXN1,SPANXN1
SPATA2,SPATA2
SPATC1L,SPATC1L
SPIDR,SPIDR
SPN,SPN
SRCIN1,SRCIN1
SRSF5,SRSF5
SSBP1,SSBP1
ST18,ST18
STAG1,STAG1
STAG3,STAG3
STAG3L5P,STAG3L5P
STAG3L5P-PVRIG2P-PILRB,STAG3L5P-PVRIG2P-PILRB
STARD13,STARD13
STH,STH
STIM2,STIM2
STK11,STK11
STK31,STK31
STRA13,STRA13
STUB1,STUB1
SULT2B1,SULT2B1
SUPT7L,SUPT7L
SVOPL,SVOPL
SWI5,SWI5
SYF2,SYF2
SYNPR,SYNPR
TAC1,TAC1
TAF10,TAF10
TAF11,TAF11
TAF5,TAF5
TAF9,TAF9
TBC1D12,TBC1D12
TBC1D13,TBC1D13
TBC1D14,TBC1D14
TBC1D22A,TBC1D22A
TBC1D29,TBC1D29
TBC1D2B,TBC1D2B
TBC1D31,TBC1D31
TBL2,TBL2
TCF21,TCF21
TCF3,TCF3
TCF4,TCF4
TCL1A,TCL1A
TCTN3,TCTN3
TEP1,TEP1
TERT,TERT
TEX22,TEX22
TFPI2,TFPI2
TGFB1,TGFB1
TGS1,TGS1
TIAF1,TIAF1
TIGIT,TIGIT
TIMM8B,TIMM8B
TIPIN,TIPIN
TLN2,TLN2
TM4SF18,TM4SF18
TMBIM6,TMBIM6
TMC3,TMC3
TMEM101,TMEM101
TMEM109,TMEM109
TMEM128,TMEM128
TMEM131,TMEM131
TMEM150B,TMEM150B
TMEM160,TMEM160
TMEM179,TMEM179
TMEM200A,TMEM200A
TMEM208,TMEM208
TMEM210,TMEM210
TMEM214,TMEM214
TMEM55B,TMEM55B
TMEM63A,TMEM63A
TMEM64,TMEM64
TMEM66,TMEM66
TMEM91,TMEM91
TMPRSS4,TMPRSS4
TNFRSF8,TNFRSF8
TNK2,TNK2
TOB2,TOB2
TOR1B,TOR1B
TP53,TP53
TP53I13,TP53I13
TP53TG3D,TP53TG3D
TP63,TP63
TPM3,TPM3
TPRG1L,TPRG1L
TPSAB1,TPSAB1
TPSB2,TPSB2
TPTE,TPTE
TRAF3IP3,TRAF3IP3
TRAIP,TRAIP
TRAPPC2L,TRAPPC2L
TRBV5-4,TRBV5-4
TRBV7-8,TRBV7-8
TRIM28,TRIM28
TRIM7,TRIM7
TRMT10C,TRMT10C
TRPC6,TRPC6
TRPM4,TRPM4
TRPV4,TRPV4
TSHZ2,TSHZ2
TTN,TTN
TTPA,TTPA
TUBA1C,TUBA1C
TXNDC2,TXNDC2
TYMP,TYMP
TYW1B,TYW1B
U2AF1L4,U2AF1L4
UAP1,UAP1
UBAC1,UBAC1
UBAC2,UBAC2
UBALD1,UBALD1
UBE2J2,UBE2J2
UBXN7,UBXN7
UMPS,UMPS
UNC13A,UNC13A
UPF2,UPF2
URB1,URB1
USH2A,USH2A
VAMP4,VAMP4
VASH1,VASH1
VCPIP1,VCPIP1
VHL,VHL
VIPAS39,VIPAS39
VIT,VIT
VMP1,VMP1
VPS37B,VPS37B
VPS41,VPS41
VPS45,VPS45
VPS53,VPS53
VWA1,VWA1
WBP1,WBP1
WDR74,WDR74
WFS1,WFS1
WISP3,WISP3
WNT5B,WNT5B
WRAP73,WRAP73
XBP1,XBP1
XPNPEP1,XPNPEP1
XRCC4,XRCC4
XRCC5,XRCC5
XXbac-BPG308K3.6,XXbac-BPG308K3.6
YAE1D1,YAE1D1
YIPF3,YIPF3
YME1L1,YME1L1
YPEL2,YPEL2
YWHAZ,YWHAZ
ZBTB49,ZBTB49
ZC3H18,ZC3H18
ZC4H2,ZC4H2
ZCCHC2,ZCCHC2
ZDHHC14,ZDHHC14
ZDHHC16,ZDHHC16
ZFP14,ZFP14
ZFP36L1,ZFP36L1
ZFP41,ZFP41
ZMYND15,ZMYND15
ZNF143,ZNF143
ZNF165,ZNF165
ZNF180,ZNF180
ZNF200,ZNF200
ZNF208,ZNF208
ZNF217,ZNF217
ZNF227,ZNF227
ZNF236,ZNF236
ZNF28,ZNF28
ZNF285,ZNF285
ZNF324,ZNF324
ZNF488,ZNF488
ZNF558,ZNF558
ZNF566,ZNF566
ZNF595,ZNF595
ZNF608,ZNF608
ZNF611,ZNF611
ZNF677,ZNF677
ZNF705G,ZNF705G
ZNF706,ZNF706
ZNF711,ZNF711
ZNF716,ZNF716
ZNF717,ZNF717
ZNF727,ZNF727
ZNF773,ZNF773
ZNF778,ZNF778
ZNF786,ZNF786
ZNF799,ZNF799
ZNF804A,ZNF804A
ZNF812,ZNF812
ZNF814,ZNF814
ZWINT,ZWINT
